"464","4","Speed Skating Women's 3,000 metres"
"465","5","Cross Country Skiing Women's 5/10 kilometres Pursuit"
"466","5","Cross Country Skiing Women's 4 x 5 kilometres Relay"
"467","5","Cross Country Skiing Women's 15 kilometres"
"468","5","Cross Country Skiing Women's 5/5 kilometres Pursuit"
"469","29","Diving Women's Synchronized Platform"
"470","6","Athletics Women's Triple Jump"
"471","53","Skeleton Women's Skeleton"
"472","22","Bobsleigh Men's Four/Five"
"473","13","Art Competitions Mixed Painting, Drawings And Water Colors"
"474","25","Shooting Men's Dueling Pistol, 30 metres"
"475","26","Boxing Women's Lightweight"
"476","28","Cycling Women's BMX"
"477","30","Canoeing Men's Kayak Doubles, 200 metres"
"478","23","Fencing Men's Sabre, Masters, Individual"
"479","54","Lacrosse Men's Lacrosse"
"480","30","Canoeing Women's Kayak Singles, 500 metres"
"481","6","Athletics Women's 10 kilometres Walk"
"482","10","Sailing Mixed 12 metres"
"483","1","Judo Women's Extra-Lightweight"
"484","29","Diving Men's Synchronized Springboard"
"485","21","Rowing Men's Coxed Fours, Outriggers"
"486","12","Gymnastics Men's Rope Climbing"
"487","10","Sailing Mixed Two Person Dinghy"
"488","13","Art Competitions Mixed Architecture, Unknown Event"
"489","36","Archery Men's Target Archery, 28 metres, Team"
"490","36","Archery Men's Target Archery, 33 metres, Team"
"491","36","Archery Men's Target Archery, 50 metres, Team"
"492","52","Short Track Speed Skating Women's 3,000 metres Relay"
"493","43","Freestyle Skiing Women's Moguls"
"494","52","Short Track Speed Skating Men's 500 metres"
"495","25","Shooting Men's Running Target, 10 metres"
"496","55","Polo Men's Polo"
"497","21","Rowing Men's Coxed Fours, Inriggers"
"498","28","Cycling Men's BMX"
"499","13","Art Competitions Mixed Sculpturing"
"500","6","Athletics Men's Cross-Country, Individual"
"501","6","Athletics Men's Cross-Country, Team"
"502","10","Sailing Mixed 40 metres"
"503","5","Cross Country Skiing Men's 10/10 kilometres Pursuit"
"504","48","Ski Jumping Women's Normal Hill, Individual"
"505","52","Short Track Speed Skating Men's 1,000 metres"
"506","52","Short Track Speed Skating Men's 1,500 metres"
"507","12","Gymnastics Men's Club Swinging"
"508","31","Tennis Women's Singles"
"509","31","Tennis Mixed Doubles"
"510","31","Tennis Women's Doubles"
"511","1","Judo Women's Middleweight"
"512","1","Judo Women's Lightweight"
"513","5","Cross Country Skiing Men's Team Sprint"
"514","50","Snowboarding Women's Halfpipe"
"515","30","Canoeing Women's Kayak Singles, 200 metres"
"516","30","Canoeing Men's Kayak Relay 4 x 500 metres"
"517","6","Athletics Men's 3,000 metres, Team"
"518","5","Cross Country Skiing Women's Sprint"
"519","25","Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards"
"520","25","Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team"
"521","25","Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards"
"522","25","Shooting Men's Small-Bore Rifle, Moving Target, 25 yards"
"523","25","Shooting Men's Military Pistol, Team"
"524","21","Rowing Women's Coxed Fours"
"525","16","Weightlifting Men's Unlimited, One Hand"
"526","30","Canoeing Men's Canadian Singles, 500 metres"
"527","23","Fencing Men's Foil, Masters, Individual"
"528","23","Fencing Men's epee, Masters, Individual"
"529","12","Gymnastics Men's Individual All-Around, Field Sports"
"530","12","Gymnastics Men's Individual All-Around, Apparatus Work"
"531","13","Art Competitions Mixed Music, Compositions For Solo Or Chorus"
"532","23","Fencing Women's epee, Team"
"533","8","Swimming Men's 4,000 metres Freestyle"
"534","8","Swimming Men's Underwater Swimming"
"535","10","Sailing Mixed Skiff"
"536","25","Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team"
"537","25","Shooting Men's Running Target, Single And Double Shot"
"538","25","Shooting Men's Small-Bore Rifle, Any Position, 50 metres"
"539","25","Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres"
"540","8","Swimming Women's 10 kilometres Open Water"
"541","50","Snowboarding Women's Slopestyle"
"542","50","Snowboarding Men's Giant Slalom"
"543","50","Snowboarding Men's Parallel Giant Slalom"
"544","50","Snowboarding Men's Boardercross"
"545","50","Snowboarding Men's Parallel Slalom"
"546","28","Cycling Men's Team Pursuit, 1,980 yards"
"547","28","Cycling Men's 5,000 metres"
"548","28","Cycling Men's 100 kilometres"
"549","56","Cricket Men's Cricket"
"550","30","Canoeing Men's Canadian Singles, 10,000 metres"
"551","5","Cross Country Skiing Women's Team Sprint"
"552","26","Boxing Women's Middleweight"
"553","10","Sailing Men's Skiff"
"554","6","Athletics Men's Pentathlon"
"555","8","Swimming Men's 1,200 metres Freestyle"
"556","25","Shooting Women's Skeet"
"557","11","Biathlon Men's 15 kilometres Mass Start"
"558","5","Cross Country Skiing Men's 30 km Skiathlon"
"559","28","Cycling Men's 1/4 mile"
"560","28","Cycling Men's 1/2 mile"
"561","28","Cycling Men's 5 mile"
"562","28","Cycling Men's 25 mile"
"563","25","Shooting Men's Small-Bore Rifle, Standing, 50 metres"
"564","25","Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team"
"565","4","Speed Skating Men's Team Pursuit (8 laps)"
"566","25","Shooting Men's Free Rifle, 1,000 Yards"
"567","28","Cycling Women's Team Pursuit"
"568","4","Speed Skating Women's 5,000 metres"
"569","6","Athletics Men's 3,000 metres Walk"
"570","50","Snowboarding Women's Boardercross"
"571","25","Shooting Mixed Running Target, 50 metres"
"572","18","Luge Mixed Team Relay"
"573","28","Cycling Women's Individual Time Trial"
"574","23","Fencing Women's Sabre, Individual"
"575","23","Fencing Men's Sabre, Individual, Three Hits"
"576","36","Archery Women's Double National Round"
"577","28","Cycling Men's Omnium"
"578","24","Equestrianism Mixed Hacks And Hunter Combined"
"579","10","Sailing Mixed 10 metres"
"580","25","Shooting Men's Trap, Team"
"581","28","Cycling Women's Individual Pursuit, 3,000 metres"
"582","28","Cycling Women's Points Race"
"583","10","Sailing Men's Two Person Keelboat"
"584","28","Cycling Men's Keirin"
"585","28","Cycling Men's Team Sprint"
"586","6","Athletics Men's 5 mile"
